PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;2011 MAN;2011 VROUW;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW
Gelderland;0200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;bachelor;54;7;28;3;27;7;23;8;34;12
Gelderland;0200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;propedeuse bachelor;0;0;14;8;19;7;31;9;12;4
Gelderland;0200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;39;4;31;4;41;3;41;3;36;2
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;bachelor;237;173;250;204;263;206;257;221;274;236
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;propedeuse bachelor;324;149;255;146;304;163;313;158;269;149
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;118;50;119;53;130;70;135;54;160;72
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;propedeuse bachelor;125;37;144;51;188;52;217;66;221;60
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);60644;M Business Administration;voltijd onderwijs;master;0;0;0;0;190;157;192;176;171;151
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;master;72;31;75;43;87;48;88;58;114;53
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66834;M Bedrijfskunde;voltijd onderwijs;master;311;195;262;188;0;0;0;0;0;0
Gelderland;0268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;bachelor;17;87;22;88;21;100;18;115;21;93
